Tile,class,x,y
D1727,2,317500,427500
D1827,4,318500,427500
D1927,2,319500,427500
D2027,1,320500,427500
D2127,1,321500,427500
D2227,4,322500,427500
D2327,2,323500,427500
D2427,2,324500,427500
C6226,1,262500,426500
C6326,1,263500,426500
C6426,1,264500,426500
C6526,1,265500,426500
C6626,2,266500,426500
C6726,2,267500,426500
C6826,2,268500,426500
C6926,2,269500,426500
C7026,1,270500,426500
C7126,2,271500,426500
C7226,2,272500,426500
C7326,2,273500,426500
C7426,1,274500,426500
C7526,1,275500,426500
C7626,1,276500,426500
C7726,1,277500,426500
C7826,1,278500,426500
C7926,1,279500,426500
C8026,1,280500,426500
C8126,1,281500,426500
C8226,1,282500,426500
C8326,1,283500,426500
C8426,1,284500,426500
C8526,1,285500,426500
C8626,1,286500,426500
C8726,1,287500,426500
C8826,1,288500,426500
C8926,1,289500,426500
C9026,1,290500,426500
C9126,1,291500,426500
C9226,1,292500,426500
C9326,1,293500,426500
C9426,1,294500,426500
C9526,1,295500,426500
C9626,1,296500,426500
C9726,1,297500,426500
C9826,1,298500,426500
C9926,1,299500,426500
D0026,1,300500,426500
D0126,1,301500,426500
D0226,1,302500,426500
D0326,1,303500,426500
D0426,1,304500,426500
D0526,1,305500,426500
D0626,1,306500,426500
D0726,2,307500,426500
D0826,1,308500,426500
D0926,1,309500,426500
D1026,1,310500,426500
D1126,1,311500,426500
D1226,1,312500,426500
D1326,1,313500,426500
D1426,1,314500,426500
D1526,1,315500,426500
D1626,2,316500,426500
D1726,1,317500,426500
D1826,4,318500,426500
D1926,2,319500,426500
D2026,1,320500,426500
D2126,1,321500,426500
D2226,1,322500,426500
D2326,1,323500,426500
D2426,1,324500,426500
C6125,1,261500,425500
C6225,1,262500,425500
C6325,1,263500,425500
C6425,2,264500,425500
C6525,2,265500,425500
C6625,2,266500,425500
C6725,2,267500,425500
C6825,2,268500,425500
C6925,2,269500,425500
C7025,2,270500,425500
C7125,1,271500,425500
C7225,2,272500,425500
C7325,1,273500,425500
C7425,1,274500,425500
C7525,1,275500,425500
C7625,1,276500,425500
C7725,1,277500,425500
C7825,1,278500,425500
C7925,1,279500,425500
C8025,1,280500,425500
C8125,1,281500,425500
C8225,1,282500,425500
C8325,1,283500,425500
C8425,1,284500,425500
C8525,1,285500,425500
C8625,1,286500,425500
C8725,1,287500,425500
C8825,1,288500,425500
C8925,1,289500,425500
C9025,1,290500,425500
C9125,1,291500,425500
C9225,1,292500,425500
C9325,1,293500,425500
C9425,1,294500,425500
C9525,1,295500,425500
C9625,1,296500,425500
C9725,1,297500,425500
C9825,1,298500,425500
C9925,1,299500,425500
D0025,1,300500,425500
D0125,1,301500,425500
D0225,1,302500,425500
D0325,1,303500,425500
D0425,1,304500,425500
D0525,1,305500,425500
D0625,1,306500,425500
D0725,1,307500,425500
D0825,1,308500,425500
D0925,1,309500,425500
D1025,1,310500,425500
D1125,1,311500,425500
D1225,1,312500,425500
D1325,1,313500,425500
D1425,1,314500,425500
D1525,1,315500,425500
D1625,1,316500,425500
D1725,1,317500,425500
D1825,1,318500,425500
D1925,2,319500,425500
D2025,2,320500,425500
D2125,1,321500,425500
D2225,2,322500,425500
D2325,1,323500,425500
D2425,1,324500,425500
D2525,2,325500,425500
D2625,2,326500,425500
D2725,2,327500,425500
D2825,2,328500,425500
D2925,2,329500,425500
C4624,4,246500,424500
C4724,4,247500,424500
C4824,1,248500,424500
C4924,1,249500,424500
C5024,1,250500,424500
C5124,1,251500,424500
C5224,1,252500,424500
C5324,1,253500,424500
C5424,1,254500,424500
C6024,1,260500,424500
C6124,1,261500,424500
C6224,1,262500,424500
C6324,1,263500,424500
C6424,2,264500,424500
C6524,2,265500,424500
C6624,2,266500,424500
C6724,2,267500,424500
C6824,2,268500,424500
C6924,2,269500,424500
C7024,2,270500,424500
C7124,1,271500,424500
C7224,2,272500,424500
C7324,1,273500,424500
C7424,1,274500,424500
C7524,1,275500,424500
C7624,1,276500,424500
C7724,1,277500,424500
C7824,1,278500,424500
C7924,1,279500,424500
C8024,1,280500,424500
C8124,1,281500,424500
C8224,1,282500,424500
C8324,1,283500,424500
C8424,1,284500,424500
C8524,1,285500,424500
C8624,1,286500,424500
C8724,1,287500,424500
C8824,1,288500,424500
C8924,1,289500,424500
C9024,1,290500,424500
C9124,1,291500,424500
C9224,1,292500,424500
C9324,1,293500,424500
C9424,1,294500,424500
C9524,1,295500,424500
C9624,1,296500,424500
C9724,1,297500,424500
C9824,1,298500,424500
C9924,1,299500,424500
D0024,1,300500,424500
